model,entry_id,error_reason_type,error_reason_description,error_turn_id
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_169,Failed to Understand Environment State,"The model used an incorrect airport code 'RVM' instead of 'RMS' for the booking, leading to a mismatch in the final state compared to the ground truth.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_170,Failed to Understand Environment State,"The model booked a flight without first checking the cost, leading to a discrepancy in the final state balance.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_171,Failed to Understand Environment State,"The model set the budget limit and booked a flight without checking the current budget and flight costs, leading to an incorrect booking cost and budget limit.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_172,Failed to Understand Environment State,"The model made unnecessary function calls and altered the environment state by registering an additional credit card and booking an extra flight, which were not part of the user's request.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_173,Failed to Understand User's Request,"The model failed to close the unnecessary ticket as requested by the user, despite having the ticket ID available in the initial state.",3
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_174,Failed to Understand Environment State,"The model failed to recognize the correct airport code for Rome, leading to an incorrect flight booking attempt and subsequent failures in purchasing insurance and retrieving an invoice.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_175,Failed to Understand Environment State,"The model repeatedly attempted to authenticate and book a flight without checking the validity of the access token, leading to persistent errors and failure to complete the booking.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_176,No Failure,No Failure Occurs,-1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_177,Failed to Understand Environment State,The model booked a flight to the wrong airport (NRT instead of HND) without verifying the correct destination.,0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_178,Failed to Understand Environment State,"The model repeatedly used incorrect booking IDs for various operations, failing to utilize the correct booking ID from the environment state.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_179,Failed to Understand Environment State,"The model booked a flight using incorrect airport codes without verifying the nearest airports first, leading to a mismatch in the booking record.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_180,Failed to Understand Environment State,"The model set the budget limit to 20,000 RMB instead of converting it to USD, leading to an incorrect budget limit in the environment state.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_181,No Failure,No Failure Occurs,-1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_182,No Failure,No Failure Occurs,-1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_183,Failed to Understand Environment State,"The model incorrectly assumed the airport code for Rivermist as 'RIV' instead of using the correct code 'RMS', leading to an incorrect flight booking and cost calculation.",1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_184,Failed to Understand Environment State,"The model booked a new flight instead of retrieving the invoice for the existing booking, leading to an incorrect state with two bookings.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_185,Failed to Understand User's Request,"The model incorrectly interpreted the user's request in Turn 0, focusing on flight cost and budget limit instead of addressing the user's request to compose functions based on the given question and function list.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_186,No Failure,No Failure Occurs,-1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_187,Failed to Understand Environment State,"The model failed to correctly identify and use the existing booking ID 'insurance_12345' for various operations, leading to incorrect function calls and failure to achieve the desired state.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_188,No Failure,No Failure Occurs,-1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_189,Failed to Understand Environment State,"The model booked a flight without verifying the correct airport codes and travel cost, leading to a mismatch in the final state.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_190,Failed to Understand Environment State,"The model failed to correctly identify the booking ID and insurance ID associated with the user's request, leading to incorrect function calls and state discrepancies.",1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_191,No Failure,No Failure Occurs,-1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_192,No Failure,No Failure Occurs,-1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_193,No Failure,No Failure Occurs,-1
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_194,Failed to Understand User's Request,The model misunderstood the user's request to determine flight prices for a specific route (RMS to BOS) and instead calculated for a different route (LAX to JFK).,0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_195,Failed to Understand Environment State,"The model booked a flight with a non-existent route from 'RIV' to 'LAX' without verifying the availability of the route first, leading to a booking with zero cost.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_196,Failed to Understand Environment State,"The model incorrectly adjusted the budget limit after canceling the booking, resulting in a mismatch with the ground truth state.",2
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_197,Failed to Understand Environment State,"The model registered the same credit card twice with different IDs, leading to an incorrect final state with two credit cards instead of one.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_198,Failed to Understand Function Documentation,"The model failed to call the 'get_flight_cost' function to determine the travel cost before booking the flight, leading to an incorrect booking with a cost of 0.",0
Qwen_Qwen2.5-72B-Instruct,multi_turn_base_199,Failed to Understand Environment State,"The model booked a flight with a cost of 0 initially, which is not a valid booking. It failed to check the flight cost before booking.",0
